time,G_min,G_max,G_opt,I_min,I_max,I_opt
289.9,10.10688025,11.91956961,10.8725497,0.032535726,0.118505104,0.075599229
289.91,10.10602984,11.91933546,10.87185786,0.032691369,0.119039361,0.075952656
289.92,10.10517935,11.9191009,10.87116581,0.032846842,0.119572675,0.076305603
289.93,10.10432879,11.91886592,10.87047354,0.033002144,0.120105049,0.076658071
289.94,10.10347815,11.91863053,10.86978106,0.033157277,0.120636483,0.077010059
289.95,10.10262744,11.91839472,10.86908837,0.033312239,0.121166978,0.077361569
289.96,10.10177665,11.9181585,10.86839547,0.033467032,0.121696536,0.077712601
289.97,10.1009258,11.91792187,10.86770235,0.033621655,0.122225158,0.078063155
289.98,10.10007486,11.91768483,10.86700903,0.033776108,0.122752845,0.078413232
289.99,10.09922386,11.91744737,10.8663155,0.033930392,0.123279598,0.078762831
290,10.09837279,11.91720951,10.86562176,0.034084506,0.123805418,0.079111954
290.01,10.09752164,11.91697123,10.86492781,0.034238452,0.124330307,0.079460601
290.02,10.09667042,11.91673254,10.86423365,0.034392228,0.124854266,0.079808771
290.03,10.09581912,11.91649344,10.86353928,0.034545834,0.125377296,0.080156467
290.04,10.09496776,11.91625393,10.86284471,0.034699272,0.125899398,0.080503687
290.05,10.09411632,11.91601401,10.86214993,0.034852541,0.126420573,0.080850433
290.06,10.09326482,11.91577368,10.86145494,0.035005641,0.126940823,0.081196705
290.07,10.09241324,11.91553294,10.86075975,0.035158573,0.127460149,0.081542503
290.08,10.09156159,11.91529179,10.86006436,0.035311335,0.127978552,0.081887827
290.09,10.09070987,11.91505024,10.85936876,0.03546393,0.128496034,0.082232679
290.1,10.08985808,11.91480828,10.85867296,0.035616356,0.129012594,0.082577058
290.11,10.08900622,11.91456591,10.85797695,0.035768614,0.129528236,0.082920966
290.12,10.0881543,11.91432313,10.85728074,0.035920703,0.13004296,0.083264401
290.13,10.0873023,11.91407995,10.85658433,0.036072625,0.130556767,0.083607366
290.14,10.08645023,11.91383636,10.85588772,0.036224379,0.131069658,0.08394986
290.15,10.08559809,11.91359236,10.85519091,0.036375965,0.131581635,0.084291883
290.16,10.08474589,11.91334796,10.85449389,0.036527383,0.1320927,0.084633437
290.17,10.08389361,11.91310316,10.85379668,0.036678634,0.132602852,0.084974521
290.18,10.08304127,11.91285795,10.85309927,0.036829717,0.133112094,0.085315136
290.19,10.08218886,11.91261234,10.85240166,0.036980633,0.133620427,0.085655283
290.2,10.08133638,11.91236632,10.85170385,0.037131382,0.134127852,0.085994962
290.21,10.08048384,11.9121199,10.85100585,0.037281963,0.13463437,0.086334173
290.22,10.07963122,11.91187308,10.85030764,0.037432378,0.135139983,0.086672917
290.23,10.07877854,11.91162585,10.84960925,0.037582626,0.135644692,0.087011195
290.24,10.0779258,11.91137823,10.84891065,0.037732707,0.136148498,0.087349006
290.25,10.07707298,11.9111302,10.84821186,0.037882621,0.136651403,0.087686351
290.26,10.0762201,11.91088177,10.84751288,0.038032369,0.137153407,0.088023231
290.27,10.07536716,11.91063294,10.8468137,0.038181951,0.137654512,0.088359646
290.28,10.07451415,11.91038372,10.84611433,0.038331366,0.13815472,0.088695597
290.29,10.07366107,11.91013409,10.84541476,0.038480616,0.138654031,0.089031084
290.3,10.07280793,11.90988406,10.844715,0.038629699,0.139152447,0.089366108
290.31,10.07195472,11.90963363,10.84401505,0.038778616,0.139649969,0.089700668
290.32,10.07110145,11.90938281,10.84331491,0.038927368,0.140146599,0.090034766
290.33,10.07024811,11.90913159,10.84261458,0.039075954,0.140642338,0.090368402
290.34,10.06939471,11.90887997,10.84191406,0.039224375,0.141137186,0.090701577
290.35,10.06854124,11.90862795,10.84121335,0.03937263,0.141631146,0.09103429
290.36,10.06768771,11.90837554,10.84051245,0.03952072,0.142124219,0.091366543
290.37,10.06683412,11.90812273,10.83981136,0.039668645,0.142616405,0.091698335
290.38,10.06598047,11.90786953,10.83911009,0.039816405,0.143107707,0.092029668
290.39,10.06512675,11.90761593,10.83840862,0.039964,0.143598126,0.092360542
290.4,10.06427297,11.90736193,10.83770697,0.040111431,0.144087662,0.092690957
290.41,10.06341912,11.90710754,10.83700514,0.040258697,0.144576317,0.093020914
290.42,10.06256522,11.90685276,10.83630312,0.040405798,0.145064093,0.093350413
290.43,10.06171125,11.90659759,10.83560091,0.040552735,0.145550991,0.093679454
290.44,10.06085722,11.90634202,10.83489852,0.040699508,0.146037012,0.094008039
290.45,10.06000313,11.90608606,10.83419594,0.040846117,0.146522157,0.094336168
290.46,10.05914897,11.90582971,10.83349318,0.040992562,0.147006428,0.094663841
290.47,10.05829476,11.90557297,10.83279024,0.041138843,0.147489826,0.094991059
290.48,10.05744049,11.90531583,10.83208712,0.04128496,0.147972352,0.095317821
290.49,10.05658615,11.90505831,10.83138381,0.041430914,0.148454008,0.09564413
290.5,10.05573176,11.90480039,10.83068033,0.041576704,0.148934795,0.095969984
290.51,10.0548773,11.90454209,10.82997666,0.041722332,0.149414714,0.096295385
290.52,10.05402279,11.9042834,10.82927281,0.041867796,0.149893767,0.096620333
290.53,10.05316821,11.90402431,10.82856879,0.042013097,0.150371954,0.096944829
290.54,10.05231358,11.90376484,10.82786458,0.042158235,0.150849278,0.097268873
290.55,10.05145889,11.90350499,10.8271602,0.042303211,0.151325739,0.097592465
290.56,10.05060414,11.90324474,10.82645564,0.042448024,0.151801339,0.097915607
290.57,10.04974933,11.90298411,10.8257509,0.042592674,0.152276079,0.098238298
290.58,10.04889446,11.90272309,10.82504598,0.042737162,0.152749961,0.098560539
290.59,10.04803954,11.90246169,10.82434089,0.042881488,0.153222985,0.098882331
290.6,10.04718456,11.9021999,10.82363563,0.043025652,0.153695154,0.099203674
290.61,10.04632952,11.90193773,10.82293018,0.043169654,0.154166467,0.099524568
290.62,10.04547442,11.90167517,10.82222457,0.043313494,0.154636928,0.099845014
290.63,10.04461927,11.90141223,10.82151878,0.043457173,0.155106536,0.100165013
290.64,10.04376406,11.90114891,10.82081282,0.04360069,0.155575294,0.100484565
290.65,10.04290879,11.9008852,10.82010668,0.043744046,0.156043202,0.10080367
290.66,10.04205347,11.90062111,10.81940037,0.04388724,0.156510262,0.101122329
290.67,10.04119809,11.90035664,10.81869389,0.044030274,0.156976476,0.101440543
290.68,10.04034266,11.90009178,10.81798724,0.044173146,0.157441844,0.101758312
290.69,10.03948717,11.89982655,10.81728042,0.044315858,0.157906368,0.102075636
290.7,10.03863162,11.89956094,10.81657343,0.044458409,0.158370048,0.102392517
290.71,10.03777603,11.89929494,10.81586627,0.044600799,0.158832888,0.102708953
290.72,10.03692037,11.89902857,10.81515894,0.044743029,0.159294887,0.103024947
290.73,10.03606467,11.89876181,10.81445144,0.044885099,0.159756047,0.103340498
290.74,10.03520891,11.89849468,10.81374378,0.045027008,0.16021637,0.103655608
290.75,10.03435309,11.89822717,10.81303594,0.045168758,0.160675856,0.103970275
290.76,10.03349722,11.89795928,10.81232794,0.045310348,0.161134507,0.104284502
290.77,10.0326413,11.89769102,10.81161978,0.045451778,0.161592325,0.104598288
290.78,10.03178533,11.89742238,10.81091145,0.045593048,0.16204931,0.104911634
290.79,10.0309293,11.89715336,10.81020295,0.045734159,0.162505464,0.105224541
290.8,10.03007322,11.89688397,10.80949429,0.045875111,0.162960788,0.105537009
290.81,10.02921709,11.8966142,10.80878547,0.046015904,0.163415284,0.105849038
290.82,10.02836091,11.89634405,10.80807648,0.046156537,0.163868952,0.106160629
290.83,10.02750467,11.89607354,10.80736733,0.046297012,0.164321795,0.106471782
