time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H2_G_opt,H2_G_min,H2_G_max,Glycemic_level
310.38,,,7.660471649,8.665765037,,8.172260694,9.064220109,
310.39,,,7.65975955,8.665206308,,8.171625881,9.063780342,
310.4,,,7.65904768,8.664647666,,8.17099123,9.063340624,
310.41,,,7.658336037,8.66408911,,8.17035674,9.062900954,
310.42,,,7.657624622,8.66353064,,8.169722412,9.062461332,
310.43,,,7.656913434,8.662972256,,8.169088244,9.062021758,
310.44,,,7.656202473,8.662413958,,8.168454237,9.061582232,
310.45,,,7.65549174,8.661855746,,8.167820391,9.061142754,
310.46,,,7.654781234,8.661297621,,8.167186706,9.060703323,
310.47,,,7.654070955,8.660739581,,8.166553182,9.060263941,
310.48,,,7.653360902,8.660181628,,8.165919818,9.059824606,
310.49,,,7.652651077,8.65962376,,8.165286615,9.05938532,
310.5,,,7.651941477,8.659065979,,8.164653572,9.058946081,
310.51,,,7.651232105,8.658508283,,8.16402069,9.05850689,
310.52,,,7.650522958,8.657950673,,8.163387968,9.058067747,
310.53,,,7.649814038,8.65739315,,8.162755406,9.057628651,
310.54,,,7.649105343,8.656835711,,8.162123004,9.057189603,
310.55,,,7.648396875,8.656278359,,8.161490763,9.056750603,
310.56,,,7.647688632,8.655721093,,8.160858681,9.056311651,
310.57,,,7.646980615,8.655163912,,8.160226759,9.055872747,
310.58,,,7.646272823,8.654606817,,8.159594997,9.05543389,
310.59,,,7.645565257,8.654049807,,8.158963395,9.054995081,
310.6,,,7.644857916,8.653492883,,8.158331953,9.054556319,
310.61,,,7.6441508,8.652936045,,8.15770067,9.054117605,
310.62,,,7.643443909,8.652379292,,8.157069547,9.053678939,
310.63,,,7.642737243,8.651822625,,8.156438583,9.05324032,
310.64,,,7.642030802,8.651266043,,8.155807778,9.052801749,
310.65,,,7.641324585,8.650709546,,8.155177133,9.052363225,
310.66,,,7.640618593,8.650153135,,8.154546647,9.051924749,
310.67,,,7.639912824,8.64959681,,8.15391632,9.051486321,
310.68,,,7.639207281,8.64904057,,8.153286152,9.05104794,
310.69,,,7.638501961,8.648484415,,8.152656143,9.050609606,
310.7,,,7.637796865,8.647928345,,8.152026293,9.05017132,
310.71,,,7.637091993,8.647372361,,8.151396601,9.049733081,
310.72,,,7.636387345,8.646816461,,8.150767069,9.04929489,
310.73,,,7.63568292,8.646260647,,8.150137695,9.048856746,
310.74,,,7.634978718,8.645704919,,8.149508479,9.048418649,
310.75,,,7.63427474,8.645149275,,8.148879422,9.0479806,
310.76,,,7.633570985,8.644593716,,8.148250523,9.047542598,
310.77,,,7.632867453,8.644038243,,8.147621783,9.047104644,
310.78,,,7.632164144,8.643482854,,8.146993201,9.046666737,
310.79,,,7.631461058,8.64292755,,8.146364777,9.046228877,
310.8,,,7.630758194,8.642372332,,8.145736512,9.045791064,
310.81,,,7.630055553,8.641817198,,8.145108404,9.045353299,
310.82,,,7.629353134,8.641262149,,8.144480454,9.044915581,
310.83,,,7.628650938,8.640707185,,8.143852662,9.04447791,
310.84,,,7.627948963,8.640152306,,8.143225028,9.044040286,
310.85,,,7.627247211,8.639597511,,8.142597551,9.04360271,
310.86,,,7.62654568,8.639042802,,8.141970232,9.04316518,
310.87,,,7.625844372,8.638488177,,8.141343071,9.042727698,
310.88,,,7.625143285,8.637933636,,8.140716067,9.042290263,
310.89,,,7.624442419,8.637379181,,8.14008922,9.041852875,
310.9,,,7.623741775,8.63682481,,8.139462531,9.041415534,
310.91,,,7.623041351,8.636270523,,8.138835999,9.04097824,
310.92,,,7.622341149,8.635716321,,8.138209624,9.040540993,
310.93,,,7.621641168,8.635162204,,8.137583406,9.040103793,
310.94,,,7.620941408,8.634608171,,8.136957345,9.03966664,
310.95,,,7.620241869,8.634054223,,8.136331441,9.039229535,
310.96,,,7.61954255,8.633500359,,8.135705694,9.038792476,
310.97,,,7.618843452,8.632946579,,8.135080103,9.038355464,
310.98,,,7.618144574,8.632392884,,8.134454669,9.037918499,
310.99,,,7.617445916,8.631839273,,8.133829392,9.037481581,
311,,,7.616747478,8.631285746,,8.133204272,9.03704471,
311.01,,,7.61604926,8.630732304,,8.132579307,9.036607885,
311.02,,,7.615351262,8.630178946,,8.131954499,9.036171108,
311.03,,,7.614653484,8.629625672,,8.131329848,9.035734377,
311.04,,,7.613955925,8.629072482,,8.130705352,9.035297694,
311.05,,,7.613258586,8.628519376,,8.130081013,9.034861057,
311.06,,,7.612561466,8.627966355,,8.12945683,9.034424466,
311.07,,,7.611864565,8.627413417,,8.128832803,9.033987923,
311.08,,,7.611167884,8.626860564,,8.128208931,9.033551426,
311.09,,,7.610471421,8.626307794,,8.127585216,9.033114976,
311.1,,,7.609775177,8.625755108,,8.126961656,9.032678573,
311.11,,,7.609079152,8.625202507,,8.126338252,9.032242217,
311.12,,,7.608383345,8.624649989,,8.125715003,9.031805907,
311.13,,,7.607687757,8.624097555,,8.12509191,9.031369644,
311.14,,,7.606992387,8.623545205,,8.124468972,9.030933427,
311.15,,,7.606297235,8.622992939,,8.12384619,9.030497257,
311.16,,,7.605602302,8.622440757,,8.123223563,9.030061134,
311.17,,,7.604907586,8.621888658,,8.122601091,9.029625057,
311.18,,,7.604213088,8.621336643,,8.121978774,9.029189027,
311.19,,,7.603518808,8.620784712,,8.121356612,9.028753043,
311.2,,,7.602824745,8.620232864,,8.120734606,9.028317106,
311.21,,,7.6021309,8.6196811,,8.120112754,9.027881216,
311.22,,,7.601437272,8.619129419,,8.119491057,9.027445371,
311.23,,,7.600743862,8.618577822,,8.118869514,9.027009574,
311.24,,,7.600050668,8.618026309,,8.118248126,9.026573823,
311.25,,,7.599357691,8.617474879,,8.117626893,9.026138118,
311.26,,,7.598664931,8.616923532,,8.117005815,9.02570246,
311.27,,,7.597972388,8.616372269,,8.116384891,9.025266848,
311.28,,,7.597280061,8.615821089,,8.115764121,9.024831282,
311.29,,,7.596587951,8.615269993,,8.115143505,9.024395763,
311.3,,,7.595896057,8.61471898,,8.114523044,9.02396029,
311.31,,,7.59520438,8.61416805,,8.113902736,9.023524864,
311.32,,,7.594512918,8.613617204,,8.113282583,9.023089483,
311.33,,,7.593821672,8.61306644,,8.112662584,9.022654149,
311.34,,,7.593130642,8.61251576,,8.112042738,9.022218862,
311.35,,,7.592439828,8.611965163,,8.111423047,9.02178362,
311.36,,,7.59174923,8.611414649,,8.110803509,9.021348425,
311.37,,,7.591058846,8.610864219,,8.110184125,9.020913276,
311.38,,,7.590368679,8.610313871,,8.109564894,9.020478174,
311.39,,,7.589678726,8.609763606,,8.108945817,9.020043117,
311.4,,,7.588988988,8.609213425,,8.108326893,9.019608107,
311.41,,,7.588299466,8.608663326,,8.107708123,9.019173143,
311.42,,,7.587610158,8.60811331,,8.107089506,9.018738224,
311.43,,,7.586921065,8.607563377,,8.106471042,9.018303353,
311.44,,,7.586232186,8.607013527,,8.105852731,9.017868527,
311.45,,,7.585543522,8.60646376,,8.105234574,9.017433747,
311.46,,,7.584855072,8.605914076,,8.104616569,9.016999013,
311.47,,,7.584166837,8.605364474,,8.103998717,9.016564325,
311.48,,,7.583478815,8.604814955,,8.103381018,9.016129684,
311.49,,,7.582791008,8.604265519,,8.102763472,9.015695088,
311.5,,,7.582103414,8.603716166,,8.102146078,9.015260538,
311.51,,,7.581416034,8.603166895,,8.101528837,9.014826034,
311.52,,,7.580728868,8.602617706,,8.100911749,9.014391577,
311.53,,,7.580041915,8.602068601,,8.100294813,9.013957165,
311.54,,,7.579355176,8.601519578,,8.099678029,9.013522799,
311.55,,,7.57866865,8.600970637,,8.099061398,9.013088479,
311.56,,,7.577982336,8.600421779,,8.098444919,9.012654205,
311.57,,,7.577296236,8.599873003,,8.097828592,9.012219976,
311.58,,,7.576610349,8.59932431,,8.097212417,9.011785794,
311.59,,,7.575924674,8.598775699,,8.096596394,9.011351657,
311.6,,,7.575239212,8.598227171,,8.095980523,9.010917566,
311.61,,,7.574553963,8.597678725,,8.095364803,9.010483521,
311.62,,,7.573868926,8.597130361,,8.094749236,9.010049522,
311.63,,,7.573184101,8.596582079,,8.09413382,9.009615568,
311.64,,,7.572499488,8.59603388,,8.093518556,9.00918166,
311.65,,,7.571815088,8.595485763,,8.092903443,9.008747798,
311.66,,,7.571130899,8.594937728,,8.092288482,9.008313982,
311.67,,,7.570446922,8.594389775,,8.091673672,9.007880211,
311.68,,,7.569763157,8.593841904,,8.091059014,9.007446486,
311.69,,,7.569079603,8.593294116,,8.090444507,9.007012807,
311.7,,,7.56839626,8.592746409,,8.089830151,9.006579173,
311.71,,,7.567713129,8.592198784,,8.089215946,9.006145585,
311.72,,,7.567030209,8.591651242,,8.088601892,9.005712042,
311.73,,,7.5663475,8.591103781,,8.087987989,9.005278545,
311.74,,,7.565665002,8.590556402,,8.087374236,9.004845094,
311.75,,,7.564982715,8.590009105,,8.086760635,9.004411688,
311.76,,,7.564300638,8.58946189,,8.086147184,9.003978327,
311.77,,,7.563618772,8.588914757,,8.085533884,9.003545013,
311.78,,,7.562937117,8.588367706,,8.084920735,9.003111743,
311.79,,,7.562255672,8.587820736,,8.084307736,9.002678519,
311.8,,,7.561574437,8.587273848,,8.083694887,9.002245341,
311.81,,,7.560893412,8.586727042,,8.083082189,9.001812208,
311.82,,,7.560212597,8.586180317,,8.082469641,9.00137912,
311.83,,,7.559531992,8.585633674,,8.081857243,9.000946078,
311.84,,,7.558851596,8.585087113,,8.081244996,9.000513081,
311.85,,,7.55817141,8.584540633,,8.080632898,9.000080129,
