time_total,time_GTT,H1_G_opt,H1_G_min,H1_G_max,H1_I_opt,H1_I_min,H1_I_max,H2_G_opt,H2_G_min,H2_G_max,H2_I_opt,H2_I_min,H2_I_max,Glycemic_level
0.8,,5.477802723,5.477802723,5.48639928,0.234661648,0.232679697,0.29154848,5.477466718,5.477437789,5.48219779,0.244179609,0.245388481,0.286359854,
0.81,,5.477521637,5.477521637,5.486222749,0.237557906,0.235545299,0.295131412,5.477182293,5.477151498,5.481970562,0.247191474,0.248411861,0.289878671,
0.82,,5.47724043,5.47724043,5.486046014,0.240453005,0.238409562,0.298712428,5.476897774,5.476865069,5.481743184,0.250202075,0.251433867,0.293395598,
0.83,,5.476959104,5.476959104,5.485869074,0.243346937,0.241272478,0.30229152,5.476613162,5.4765785,5.481515655,0.253211405,0.254454492,0.296910624,
0.84,,5.476677656,5.476677656,5.485691927,0.246239698,0.244134042,0.305868679,5.476328456,5.476291791,5.481287976,0.256219458,0.257473729,0.300423742,
0.85,,5.476396088,5.476396088,5.485514573,0.249131282,0.246994248,0.309443897,5.476043655,5.476004941,5.481060144,0.259226228,0.260491573,0.303934944,
0.86,,5.476114397,5.476114397,5.485337011,0.252021684,0.24985309,0.313017164,5.47575876,5.475717949,5.48083216,0.26223171,0.263508016,0.30744422,
0.87,,5.475832584,5.475832584,5.48515924,0.254910898,0.252710562,0.316588473,5.475473769,5.475430815,5.480604023,0.265235897,0.266523054,0.310951563,
0.88,,5.475550647,5.475550647,5.48498126,0.25779892,0.255566659,0.320157816,5.475188682,5.475143538,5.480375732,0.268238785,0.26953668,0.314456965,
0.89,,5.475268587,5.475268587,5.484803069,0.260685745,0.258421374,0.323725185,5.474903499,5.474856118,5.480147287,0.271240367,0.272548889,0.317960418,
0.9,,5.474986402,5.474986402,5.484624666,0.263571366,0.261274702,0.327290571,5.474618219,5.474568553,5.479918686,0.274240638,0.275559674,0.321461916,
0.91,,5.474704093,5.474704093,5.484446052,0.266455781,0.264126638,0.330853968,5.474332842,5.474280844,5.47968993,0.277239593,0.278569031,0.32496145,
0.92,,5.474421658,5.474421658,5.484267225,0.269338983,0.266977177,0.334415368,5.474047367,5.47399299,5.479461018,0.280237228,0.281576953,0.328459013,
0.93,,5.474139098,5.474139098,5.484088184,0.272220968,0.269826314,0.337974764,5.473761794,5.47370499,5.47923195,0.283233536,0.284583435,0.331954599,
0.94,,5.473856411,5.473856411,5.483908929,0.275101732,0.272674043,0.341532149,5.473476122,5.473416844,5.479002724,0.286228513,0.287588473,0.3354482,
0.95,,5.473573597,5.473573597,5.48372946,0.27798127,0.27552036,0.345087515,5.473190352,5.47312855,5.47877334,0.289222154,0.290592062,0.33893981,
0.96,,5.473290656,5.473290656,5.483549774,0.280859578,0.278365259,0.348640856,5.472904482,5.47284011,5.478543798,0.292214454,0.293594195,0.342429421,
0.97,,5.473007588,5.473007588,5.483369873,0.283736651,0.281208737,0.352192166,5.472618513,5.472551522,5.478314098,0.295205409,0.296594868,0.345917029,
0.98,,5.472724391,5.472724391,5.483189755,0.286612485,0.284050788,0.355741437,5.472332444,5.472262786,5.478084238,0.298195013,0.299594077,0.349402626,
0.99,,5.472441065,5.472441065,5.48300942,0.289487076,0.286891407,0.359288663,5.472046275,5.471973901,5.477854218,0.301183264,0.302591817,0.352886206,
1,,5.472157611,5.472157611,5.482828866,0.292360421,0.289730591,0.362833838,5.471760004,5.471684867,5.477624039,0.304170155,0.305588083,0.356367763,
1.01,,5.471874027,5.471874027,5.482648094,0.295232514,0.292568336,0.366376957,5.471473633,5.471395683,5.477393699,0.307155684,0.30858287,0.359847291,
1.02,,5.471590313,5.471590313,5.482467103,0.298103352,0.295404636,0.369918012,5.47118716,5.471106349,5.477163198,0.310139844,0.311576175,0.363324784,
1.03,,5.471306468,5.471306468,5.482285892,0.300972931,0.298239487,0.373456998,5.470900586,5.470816865,5.476932535,0.313122634,0.314567992,0.366800238,
1.04,,5.471022494,5.471022494,5.482104461,0.303841248,0.301072887,0.376993909,5.47061391,5.47052723,5.476701711,0.316104047,0.317558318,0.370273645,
1.05,,5.470738388,5.470738388,5.481922809,0.306708299,0.30390483,0.38052874,5.470327131,5.470237444,5.476470724,0.319084082,0.320547149,0.373745001,
1.06,,5.47045415,5.47045415,5.481740936,0.309574079,0.306735313,0.384061485,5.47004025,5.469947506,5.476239575,0.322062732,0.323534479,0.377214301,
1.07,,5.470169781,5.470169781,5.481558841,0.312438586,0.309564331,0.387592138,5.469753266,5.469657417,5.476008263,0.325039995,0.326520307,0.380681539,
1.08,,5.46988528,5.46988528,5.481376524,0.315301817,0.312391882,0.391120695,5.469466179,5.469367175,5.475776788,0.328015867,0.329504627,0.38414671,
1.09,,5.469600646,5.469600646,5.481193985,0.318163766,0.315217961,0.394647151,5.469178988,5.46907678,5.475545149,0.330990345,0.332487435,0.387609809,
1.1,,5.46931588,5.46931588,5.481011222,0.321024432,0.318042565,0.398171499,5.468891694,5.468786233,5.475313345,0.333963424,0.335468728,0.391070832,
1.11,,5.46903098,5.46903098,5.480828235,0.323883812,0.320865691,0.401693735,5.468604295,5.468495532,5.475081378,0.336935101,0.338448503,0.394529773,
1.12,,5.468745947,5.468745947,5.480645025,0.3267419,0.323687335,0.405213855,5.468316793,5.468204678,5.474849246,0.339905372,0.341426755,0.397986628,
1.13,,5.468460781,5.468460781,5.48046159,0.329598696,0.326507493,0.408731854,5.468029186,5.467913669,5.474616949,0.342874235,0.344403481,0.401441393,
1.14,,5.46817548,5.46817548,5.48027793,0.332454195,0.329326162,0.412247726,5.467741474,5.467622507,5.474384486,0.345841685,0.347378678,0.404894063,
1.15,,5.467890045,5.467890045,5.480094045,0.335308394,0.332143339,0.415761467,5.467453658,5.46733119,5.474151859,0.34880772,0.350352342,0.408344634,
1.16,,5.467604476,5.467604476,5.479909935,0.338161291,0.334959022,0.419273074,5.467165736,5.467039718,5.473919065,0.351772336,0.353324471,0.411793101,
1.17,,5.467318772,5.467318772,5.479725598,0.341012883,0.337773206,0.422782541,5.466877709,5.466748091,5.473686105,0.354735531,0.35629506,0.415239461,
1.18,,5.467032932,5.467032932,5.479541035,0.343863166,0.340585888,0.426289864,5.466589576,5.466456309,5.473452979,0.3576973,0.359264106,0.418683709,
1.19,,5.466746957,5.466746957,5.479356246,0.346712138,0.343397067,0.429795039,5.466301338,5.466164371,5.473219686,0.360657642,0.362231607,0.422125841,
1.2,,5.466460847,5.466460847,5.479171229,0.349559796,0.346206738,0.433298063,5.466012993,5.465872277,5.472986226,0.363616552,0.36519756,0.425565854,
1.21,,5.466174601,5.466174601,5.478985985,0.352406137,0.3490149,0.43679893,5.465724543,5.465580028,5.472752599,0.366574029,0.36816196,0.429003743,
1.22,,5.465888219,5.465888219,5.478800514,0.355251159,0.351821548,0.440297637,5.465435986,5.465287622,5.472518804,0.369530069,0.371124807,0.432439506,
1.23,,5.4656017,5.4656017,5.478614814,0.358094859,0.354626682,0.443794181,5.465147322,5.46499506,5.472284842,0.372484669,0.374086096,0.435873138,
1.24,,5.465315045,5.465315045,5.478428887,0.360937235,0.357430297,0.447288556,5.464858552,5.464702341,5.472050713,0.375437828,0.377045824,0.439304635,
1.25,,5.465028253,5.465028253,5.47824273,0.363778283,0.360232391,0.450780761,5.464569675,5.464409465,5.471816415,0.378389541,0.38000399,0.442733995,
1.26,,5.464741324,5.464741324,5.478056345,0.366618003,0.363032962,0.454270791,5.464280691,5.464116432,5.471581949,0.381339806,0.382960591,0.446161215,
1.27,,5.464454258,5.464454258,5.477869731,0.36945639,0.365832007,0.457758643,5.4639916,5.463823241,5.471347314,0.384288622,0.385915623,0.44958629,
1.28,,5.464167055,5.464167055,5.477682888,0.372293443,0.368629524,0.461244312,5.463702401,5.463529894,5.471112511,0.387235984,0.388869084,0.453009217,
1.29,,5.463879714,5.463879714,5.477495815,0.375129159,0.37142551,0.464727797,5.463413095,5.463236388,5.470877539,0.390181892,0.391820972,0.456429994,
1.3,,5.463592235,5.463592235,5.477308512,0.377963537,0.374219963,0.468209093,5.463123681,5.462942725,5.470642398,0.393126341,0.394771284,0.459848617,
1.31,,5.463304619,5.463304619,5.477120979,0.380796573,0.377012881,0.471688198,5.462834159,5.462648904,5.470407088,0.396069331,0.397720018,0.463265084,
1.32,,5.463016864,5.463016864,5.476933216,0.383628267,0.379804261,0.475165107,5.46254453,5.462354925,5.470171609,0.399010858,0.400667171,0.466679391,
1.33,,5.462728971,5.462728971,5.476745222,0.386458614,0.382594102,0.478639819,5.462254792,5.462060787,5.46993596,0.40195092,0.403612742,0.470091536,
1.34,,5.46244094,5.46244094,5.476556997,0.389287614,0.385382401,0.48211233,5.461964946,5.461766491,5.469700142,0.404889515,0.406556727,0.473501515,
1.35,,5.462152771,5.462152771,5.476368542,0.392115265,0.388169156,0.485582636,5.461674992,5.461472037,5.469464154,0.407826641,0.409499125,0.476909327,
1.36,,5.461864462,5.461864462,5.476179855,0.394941563,0.390954365,0.489050737,5.461384929,5.461177424,5.469227996,0.410762295,0.412439933,0.480314967,
1.37,,5.461576015,5.461576015,5.475990938,0.397766508,0.393738025,0.492516627,5.461094758,5.460882652,5.468991668,0.413696476,0.41537915,0.483718435,
1.38,,5.461287428,5.461287428,5.475801788,0.400590097,0.396520136,0.495980305,5.460804478,5.460587721,5.46875517,0.416629181,0.418316773,0.487119727,
1.39,,5.460998703,5.460998703,5.475612408,0.403412329,0.399300695,0.499441768,5.460514089,5.460292631,5.468518502,0.419560408,0.4212528,0.49051884,
1.4,,5.460709838,5.460709838,5.475422795,0.406233201,0.4020797,0.502901013,5.460223592,5.459997382,5.468281663,0.422490156,0.424187229,0.493915773,
1.41,,5.460420834,5.460420834,5.47523295,0.409052712,0.40485715,0.506358038,5.459932986,5.459701973,5.468044654,0.425418421,0.427120058,0.497310523,
1.42,,5.460131691,5.460131691,5.475042874,0.411870859,0.407633042,0.50981284,5.45964227,5.459406406,5.467807474,0.428345203,0.430051286,0.500703088,
1.43,,5.459842407,5.459842407,5.474852565,0.414687642,0.410407374,0.513265417,5.459351445,5.459110679,5.467570123,0.4312705,0.43298091,0.504093465,
1.44,,5.459552985,5.459552985,5.474662023,0.417503058,0.413180146,0.516715766,5.459060511,5.458814792,5.467332602,0.434194309,0.435908928,0.507481653,
1.45,,5.459263422,5.459263422,5.474471249,0.420317105,0.415951355,0.520163885,5.458769468,5.458518746,5.46709491,0.437116628,0.43883534,0.510867648,
1.46,,5.458973719,5.458973719,5.474280243,0.423129782,0.418721,0.523609771,5.458478316,5.45822254,5.466857047,0.440037457,0.441760142,0.51425145,
1.47,,5.458683876,5.458683876,5.474089004,0.425941088,0.421489079,0.527053423,5.458187054,5.457926175,5.466619013,0.442956792,0.444683334,0.517633055,
1.48,,5.458393894,5.458393894,5.473897532,0.428751019,0.424255591,0.530494838,5.457895682,5.457629649,5.466380808,0.445874633,0.447604913,0.521012463,
1.49,,5.45810377,5.45810377,5.473705826,0.431559576,0.427020534,0.533934014,5.457604201,5.457332964,5.466142431,0.448790978,0.450524878,0.52438967,
1.5,,5.457813507,5.457813507,5.473513888,0.434366757,0.429783906,0.537370948,5.45731261,5.457036119,5.465903884,0.451705825,0.453443228,0.527764676,
1.51,,5.457523103,5.457523103,5.473321717,0.437172559,0.432545706,0.54080564,5.457020909,5.456739114,5.465665165,0.454619172,0.45635996,0.531137478,
1.52,,5.457232559,5.457232559,5.473129312,0.439976981,0.435305932,0.544238086,5.456729099,5.456441949,5.465426275,0.457531017,0.459275073,0.534508075,
1.53,,5.456941874,5.456941874,5.472936675,0.442780022,0.438064584,0.547668284,5.456437179,5.456144623,5.465187213,0.46044136,0.462188566,0.537876465,
1.54,,5.456651049,5.456651049,5.472743803,0.445581681,0.44082166,0.551096234,5.456145149,5.455847138,5.46494798,0.463350199,0.465100438,0.541242646,
1.55,,5.456360083,5.456360083,5.472550699,0.448381956,0.443577158,0.554521933,5.455853009,5.455549493,5.464708576,0.466257532,0.468010686,0.544606616,
1.56,,5.456068976,5.456068976,5.47235736,0.451180845,0.446331077,0.557945378,5.455560758,5.455251687,5.464469,0.469163357,0.470919309,0.547968374,
1.57,,5.455777728,5.455777728,5.472163788,0.453978347,0.449083416,0.561366569,5.455268398,5.454953721,5.464229252,0.472067674,0.473826306,0.551327919,
1.58,,5.45548634,5.45548634,5.471969983,0.456774461,0.451834174,0.564785504,5.454975928,5.454655595,5.463989333,0.47497048,0.476731676,0.554685248,
1.59,,5.45519481,5.45519481,5.471775943,0.459569186,0.454583349,0.56820218,5.454683348,5.454357309,5.463749242,0.477871775,0.479635417,0.558040361,
1.6,,5.45490314,5.45490314,5.47158167,0.462362519,0.45733094,0.571616596,5.454390657,5.454058862,5.46350898,0.480771556,0.482537528,0.561393255,
1.61,,5.454611328,5.454611328,5.471387163,0.465154461,0.460076946,0.575028751,5.454097857,5.453760255,5.463268546,0.483669824,0.485438008,0.56474393,
1.62,,5.454319376,5.454319376,5.471192423,0.467945009,0.462821366,0.578438643,5.453804946,5.453461488,5.46302794,0.486566575,0.488336855,0.568092384,
1.63,,5.454027282,5.454027282,5.470997448,0.470734163,0.465564199,0.58184627,5.453511924,5.453162561,5.462787163,0.48946181,0.491234068,0.571438615,
1.64,,5.453735047,5.453735047,5.47080224,0.473521921,0.468305443,0.58525163,5.453218793,5.452863473,5.462546214,0.492355526,0.494129646,0.574782623,
1.65,,5.453442671,5.453442671,5.470606797,0.476308282,0.471045098,0.588654723,5.452925551,5.452564225,5.462305093,0.495247723,0.497023589,0.578124407,
1.66,,5.453150154,5.453150154,5.470411121,0.479093244,0.473783163,0.592055547,5.452632199,5.452264816,5.4620638,0.498138398,0.499915893,0.581463964,
1.67,,5.452857496,5.452857496,5.47021521,0.481876808,0.476519636,0.595454101,5.452338737,5.451965248,5.461822336,0.501027552,0.50280656,0.584801294,
1.68,,5.452564696,5.452564696,5.470019066,0.48465897,0.479254516,0.598850382,5.452045164,5.451665519,5.4615807,0.503915183,0.505695586,0.588136395,
1.69,,5.452271755,5.452271755,5.469822687,0.487439732,0.481987803,0.60224439,5.451751481,5.45136563,5.461338893,0.506801289,0.508582973,0.591469267,
1.7,,5.451978673,5.451978673,5.469626075,0.49021909,0.484719496,0.605636123,5.451457687,5.45106558,5.461096913,0.50968587,0.511468717,0.594799909,
1.71,,5.451685449,5.451685449,5.469429229,0.492997045,0.487449593,0.60902558,5.451163784,5.450765371,5.460854762,0.512568924,0.514352819,0.598128318,
1.72,,5.451392084,5.451392084,5.469232148,0.495773595,0.490178094,0.61241276,5.450869769,5.450465001,5.46061244,0.515450451,0.517235277,0.601454495,
1.73,,5.451098578,5.451098578,5.469034834,0.49854874,0.492904998,0.615797662,5.450575645,5.450164471,5.460369945,0.518330449,0.520116091,0.604778438,
