Gmeasured_max_11mM,Gmeasured_min_11mM,Gmeasured_opt_11mM,Imeasured_max_11mM,Imeasured_min_11mM,Imeasured_opt_11mM,time,Gmeasured_max_5p5mM,Gmeasured_min_5p5mM,Gmeasured_opt_5p5mM,Imeasured_max_5p5mM,Imeasured_min_5p5mM,Imeasured_opt_5p5mM,Gmeasured_max_11mM_lowHC,Gmeasured_min_11mM_lowHC,Gmeasured_opt_11mM_lowHC,Gmeasured_max_5p5mM_lowHC,Gmeasured_min_5p5mM_lowHC,Gmeasured_opt_5p5mM_lowHC,Imeasured_max_11mM_lowHC,Imeasured_min_11mM_lowHC,Imeasured_opt_11mM_lowHC,Imeasured_max_5p5mM_lowHC,Imeasured_min_5p5mM_lowHC,Imeasured_opt_5p5mM_lowHC
10.820727,7.375207356,9.886516084,1410.394555,1033.386547,1052.77911,88.65,5.445608565,3.973931303,4.990871256,744.5459245,511.3402182,630.113622,9.419499061,6.980605057,8.848766332,4.976728776,2.701368652,4.581216587,3366.303718,2075.594009,1630.310614,1620.383671,1021.282581,771.0473379
10.82050284,7.371022793,9.885152569,1410.519189,1033.333517,1052.752746,88.7,5.445540108,3.972183952,4.990226928,744.5780112,511.3817047,630.2048092,9.417168155,6.975615826,8.845545007,4.975844147,2.700265752,4.57978987,3367.826281,2075.772002,1630.820234,1621.072251,1021.366072,771.215493
10.82027882,7.366840868,9.883789807,1410.641844,1033.279021,1052.724835,88.75,5.445471689,3.970437473,4.989582894,744.609149,511.422417,630.2951265,9.414837534,6.970629186,8.842324382,4.974959517,2.699163518,4.578363326,3369.343845,2075.9477,1631.327692,1621.758498,1021.448473,771.3825457
10.82005495,7.362661585,9.882427797,1410.762525,1033.223062,1052.695381,88.8,5.445403308,3.968691866,4.988939152,744.6393406,511.4623569,630.3845761,9.4125072,6.96564514,8.83910446,4.974074888,2.698061952,4.576936958,3370.856414,2076.12111,1631.832992,1622.442416,1021.529787,771.5484982
10.81983124,7.358484943,9.881066541,1410.881237,1033.165646,1052.664388,88.85,5.445334965,3.966947131,4.988295705,744.6685885,511.5015261,630.4731599,9.410177155,6.960663693,8.835885244,4.973190261,2.696961052,4.575510768,3372.363993,2076.292238,1632.336139,1623.124007,1021.610018,771.7133526
10.81960767,7.354310945,9.879706037,1410.997984,1033.106777,1052.631861,88.9,5.44526666,3.965203271,4.987652551,744.6968953,511.5399264,630.5608799,9.407847402,6.955684849,8.832666738,4.972305637,2.695860818,4.574084756,3373.866588,2076.46109,1632.837136,1623.803274,1021.689168,771.8771113
10.81938426,7.350139593,9.878346287,1411.112771,1033.046458,1052.597803,88.95,5.445198393,3.963460284,4.98700969,744.7242636,511.5775596,630.6477382,9.405517941,6.950708611,8.829448945,4.971421018,2.694761249,4.572658925,3375.364203,2076.627674,1633.335988,1624.48022,1021.767242,772.0397764
10.819161,7.345970888,9.87698729,1411.225603,1032.984694,1052.562218,89,5.445130164,3.961718171,4.986367125,744.7506959,511.6144275,630.7337367,9.403188775,6.945734985,8.826231868,4.970536403,2.693662346,4.571233278,3376.856843,2076.791996,1633.832697,1625.154848,1021.844243,772.2013501
10.81893789,7.341804832,9.875629047,1411.336484,1032.921489,1052.525111,89.05,5.445061973,3.959976934,4.985724853,744.776195,511.6505318,630.8188775,9.400859907,6.940763975,8.823015511,4.969651795,2.692564107,4.569807814,3378.344514,2076.954063,1634.327268,1625.827162,1021.920173,772.3618347
10.81871493,7.337641426,9.874271559,1411.445421,1032.856848,1052.486486,89.1,5.44499382,3.958236572,4.985082877,744.8007632,511.6858745,630.9031626,9.398531337,6.935795583,8.819799878,4.968767194,2.691466533,4.568382537,3379.82722,2077.113881,1634.819705,1626.497163,1021.995037,772.5212324
10.81849212,7.333480672,9.872914825,1411.552417,1032.790774,1052.446347,89.15,5.444925705,3.956497086,4.984441196,744.8244032,511.7204571,630.9865939,9.396203069,6.930829816,8.816584971,4.967882602,2.690369623,4.566957448,3381.304967,2077.271457,1635.310012,1627.164856,1022.068837,772.6795453
10.81826946,7.329322571,9.871558845,1411.657477,1032.723272,1052.404698,89.2,5.444857628,3.954758477,4.983799809,744.8471175,511.7542816,631.0691734,9.393875104,6.925866676,8.813370794,4.966998019,2.689273376,4.565532549,3382.777759,2077.426797,1635.798192,1627.830243,1022.141577,772.8367757
10.81804696,7.325167126,9.870203621,1411.760605,1032.654346,1052.361542,89.25,5.44478959,3.953020744,4.983158719,744.8689087,511.7873497,631.1509031,9.391547443,6.920906168,8.810157351,4.966113447,2.688177793,4.564107841,3384.245602,2077.579907,1636.28425,1628.493326,1022.213261,772.9929258
10.8178246,7.321014337,9.868849152,1411.861808,1032.584,1052.316885,89.3,5.444721589,3.95128389,4.982517924,744.8897794,511.819663,631.231785,9.38922009,6.915948296,8.806944644,4.965228887,2.687082872,4.562683327,3385.708501,2077.730796,1636.768189,1629.15411,1022.283891,773.1479978
10.8176024,7.316864206,9.867495438,1411.961088,1032.512237,1052.27073,89.35,5.444653627,3.949547913,4.981877425,744.9097319,511.8512235,631.311821,9.386893045,6.910993064,8.803732677,4.964344339,2.685988614,4.561259008,3387.16646,2077.879468,1637.250013,1629.812597,1022.353471,773.3019938
10.81738035,7.312716734,9.86614248,1412.058452,1032.439064,1052.223082,89.4,5.444585702,3.947812815,4.981237222,744.928769,511.8820329,631.3910133,9.384566311,6.906040475,8.800521453,4.963459805,2.684895018,4.559834886,3388.619485,2078.02593,1637.729727,1630.468789,1022.422003,773.4549161
10.81715845,7.308571924,9.864790278,1412.153904,1032.364482,1052.173943,89.45,5.444517816,3.946078596,4.980597316,744.946893,511.9120929,631.4693636,9.382239891,6.901090535,8.797310975,4.962575285,2.683802084,4.558410962,3390.06758,2078.170189,1638.207333,1631.12269,1022.489492,773.6067668
10.8169367,7.304429775,9.863438832,1412.247448,1032.288498,1052.123319,89.5,5.444449968,3.944345256,4.979957706,744.9641066,511.9414052,631.5468739,9.379913784,6.896143247,8.794101247,4.961690782,2.682709811,4.556987239,3391.510751,2078.312252,1638.682835,1631.774303,1022.555941,773.7575482
10.8167151,7.300290291,9.862088142,1412.339089,1032.211113,1052.071213,89.55,5.444382158,3.942612796,4.979318394,744.9804122,511.9699717,631.6235464,9.377587995,6.891198614,8.790892272,4.960806295,2.681618199,4.555563717,3392.949003,2078.452124,1639.156239,1632.423631,1022.621352,773.9072623
10.81649366,7.296153472,9.860738209,1412.428832,1032.132334,1052.01763,89.6,5.444314387,3.940881217,4.978679378,744.9958124,511.9977941,631.6993828,9.375262524,6.886256641,8.787684054,4.959921827,2.680527248,4.5541404,3394.382341,2078.589812,1639.627546,1633.070677,1022.68573,774.0559115
10.81627236,7.29201932,9.859389033,1412.516682,1032.052164,1051.962572,89.65,5.444246653,3.939150519,4.97804066,745.0103096,512.0248741,631.7743851,9.372937373,6.881317333,8.784476594,4.959037377,2.679436956,4.552717288,3395.810769,2078.725323,1640.096762,1633.715443,1022.749076,774.2034978
10.81605122,7.287887835,9.858040614,1412.602643,1031.970606,1051.906046,89.7,5.444178958,3.937420703,4.97740224,745.0239063,512.0512135,631.8485554,9.370612545,6.876380691,8.781269897,4.958152947,2.678347325,4.551294384,3397.234294,2078.858662,1640.56389,1634.357933,1022.811395,774.3500234
10.81583023,7.283759021,9.856692952,1412.686719,1031.887666,1051.848053,89.75,5.444111301,3.935691768,4.976764117,745.036605,512.0768139,631.9218955,9.368288041,6.871446722,8.778063966,4.957268538,2.677258353,4.549871688,3398.652919,2078.989837,1641.028933,1634.998149,1022.872689,774.4954906
10.81560939,7.279632877,9.855346047,1412.768917,1031.803346,1051.788599,89.8,5.444043683,3.933963715,4.976126293,745.0484083,512.1016773,631.9944073,9.365963863,6.866515427,8.774858804,4.956384151,2.67617004,4.548449203,3400.06665,2079.118853,1641.491896,1635.636095,1022.932963,774.6399014
10.8153887,7.275509405,9.8539999,1412.849239,1031.717652,1051.727688,89.85,5.443976102,3.932236546,4.975488766,745.0593185,512.1258052,632.066093,9.363640013,6.861586812,8.771654414,4.955499787,2.675082385,4.54702693,3401.475492,2079.245717,1641.952782,1636.271774,1022.992218,774.783258
10.81516817,7.271388606,9.852654511,1412.927692,1031.630587,1051.665322,89.9,5.44390856,3.930510259,4.974851539,745.0693382,512.1491994,632.1369542,9.361316493,6.85666088,8.7684508,4.954615447,2.673995389,4.545604872,3402.87945,2079.370436,1642.411596,1636.905187,1023.050459,774.9255626
10.81494778,7.267270483,9.85130988,1413.004279,1031.542156,1051.601507,89.95,5.443841056,3.928784857,4.974214609,745.0784699,512.1718617,632.2069931,9.358993305,6.851737635,8.765247963,4.953731133,2.67290905,4.544183029,3404.278529,2079.493014,1642.86834,1637.536339,1023.107687,775.0668173
10.81472755,7.263155036,9.849966006,1413.079005,1031.452362,1051.536247,90,5.44377359,3.927060338,4.973577979,745.0867159,512.1937938,632.2762115,9.35667045,6.84681708,8.762045909,4.952846844,2.671823369,4.542761404,3405.672733,2079.61346,1643.323019,1638.165233,1023.163908,775.2070243
10.81450747,7.259042266,9.848622892,1413.151874,1031.361209,1051.469544,90.05,5.443706163,3.925336705,4.972941648,745.0940787,512.2149974,632.3446113,9.354347931,6.84189922,8.758844639,4.951962583,2.670738345,4.541339998,3407.062069,2079.731778,1643.775637,1638.791871,1023.219123,775.3461858
10.81428754,7.254932174,9.847280535,1413.222892,1031.268701,1051.401404,90.1,5.443638774,3.923613956,4.972305616,745.1005609,512.2354741,632.4121945,9.352025749,6.836984058,8.755644156,4.951078349,2.669653978,4.539918812,3408.446541,2079.847976,1644.226196,1639.416255,1023.273335,775.4843039
10.81406777,7.250824763,9.845938938,1413.292063,1031.174843,1051.33183,90.15,5.443571423,3.921892092,4.971669884,745.1061647,512.2552259,632.478963,9.349703906,6.832071597,8.752444465,4.950194145,2.668570267,4.538497849,3409.826154,2079.962059,1644.674702,1640.03839,1023.326549,775.6213806
